% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:09 -0500
% Time (s), Channel A (V), Channel B (V)
-2.7615857280e+00, 1.4895121538e-02, -1.3478158762e-03
-2.7612355840e+00, 1.4231007839e-02, -1.2406647652e-03
-2.7608854400e+00, 1.3977919131e-02, -5.1069782134e-04
-2.7605352960e+00, 1.4145342752e-02, -2.7159458172e-03
-2.7601851520e+00, 1.4486049822e-02, -2.7681261760e-03
-2.7598350080e+00, 1.2838043307e-02, -3.1831134997e-03
-2.7594848640e+00, 1.3119873070e-02, -1.9613117947e-03
-2.7591347200e+00, 1.4551624074e-02, -9.6279737885e-04
-2.7587845760e+00, 1.5380091962e-02, -5.2107808522e-04
-2.7584344320e+00, 1.4913259097e-02, -1.8805019985e-03
-2.7580842880e+00, 1.5022642530e-02, -2.8691384213e-03
-2.7577341440e+00, 1.4762298798e-02, -2.7057329770e-03
-2.7573840000e+00, 1.4336205681e-02, -1.7497999662e-03
-2.7570338560e+00, 1.4163201272e-02, -1.8042126397e-03
-2.7566837120e+00, 1.4265887760e-02, -2.5978563636e-03
-2.7563335680e+00, 1.2920359921e-02, -2.4735722364e-03
-2.7559834240e+00, 1.3957549257e-02, -2.7804597153e-03
-2.7556332800e+00, 1.3955875021e-02, -2.6032697271e-03
-2.7552831360e+00, 1.4471539775e-02, -1.4826476909e-03
-2.7549329920e+00, 1.4749742027e-02, -5.7989958055e-04
-2.7545828480e+00, 1.3789567556e-02, -2.1899008316e-03
-2.7542327040e+00, 1.4019775036e-02, -1.2266569897e-03
-2.7538825600e+00, 1.4467912263e-02, -1.3954199896e-03
-2.7535324160e+00, 1.4737464294e-02, -1.9212975517e-03
-2.7531822720e+00, 1.4786854263e-02, -2.8779560648e-03
-2.7528321280e+00, 1.4266166799e-02, -1.6928201306e-03
-2.7524819840e+00, 1.4805828940e-02, -4.2871605984e-04
-2.7521318400e+00, 1.4372759838e-02, -7.4626284199e-04
-2.7517816960e+00, 1.3359009809e-02, -8.0798634657e-04
-2.7514315520e+00, 1.4293512658e-02, -2.3577150976e-03
-2.7510814080e+00, 1.3249905416e-02, -2.0819126025e-03
-2.7507312640e+00, 1.3417887116e-02, -2.1128301626e-03
-2.7503811200e+00, 1.2655830599e-02, -2.2875087968e-03
-2.7500309760e+00, 1.3016628503e-02, -1.9283293433e-03
-2.7496808320e+00, 1.3639165336e-02, -1.5313121538e-03
-2.7493306880e+00, 1.2824370378e-02, -1.5199273483e-03
-2.7489805440e+00, 1.2413903465e-02, -1.1810061518e-03
-2.7486304000e+00, 1.2856180866e-02, -5.8257835832e-04
-2.7482802560e+00, 1.2664759858e-02, -2.0296206280e-03
-2.7479301120e+00, 1.2159698600e-02, -2.2922524657e-03
-2.7475799680e+00, 1.2456317450e-02, -2.4760277827e-03
-2.7472298240e+00, 1.2682618378e-02, -1.2682896610e-03
-2.7468796800e+00, 1.3732364486e-02, -1.5559792325e-03
-2.7465295360e+00, 1.3311294077e-02, -2.1206432645e-03
-2.7461793920e+00, 1.3311852156e-02, -1.2804557767e-03
-2.7458292480e+00, 1.1931444396e-02, -2.3592777180e-03
-2.7454791040e+00, 1.2170302096e-02, -2.0897815122e-03
-2.7451289600e+00, 1.3164798408e-02, -2.6246999493e-03
-2.7447788160e+00, 1.2384604332e-02, -2.3504600745e-03
-2.7444286720e+00, 1.2495382961e-02, -8.4331272848e-04
-2.7440785280e+00, 1.1709887136e-02, -1.9769379984e-03
-2.7437283840e+00, 1.1543858712e-02, -1.8487473203e-03
-2.7433782400e+00, 1.2549795638e-02, -2.1089794196e-03
-2.7430280960e+00, 1.2772190016e-02, -1.9338543225e-03
-2.7426779520e+00, 1.2953007527e-02, -2.3799824379e-03
-2.7423278080e+00, 1.2458828804e-02, -1.7388058157e-03
-2.7419776640e+00, 1.2698802662e-02, -1.6193769732e-03
-2.7416275200e+00, 1.2376791229e-02, -2.2890714171e-03
-2.7412773760e+00, 1.2697407465e-02, -2.1116023895e-03
-2.7409272320e+00, 1.2689873402e-02, -1.2857017165e-03
-2.7405770880e+00, 1.3036161259e-02, -1.0799380987e-03
-2.7402269440e+00, 1.2291684222e-02, -1.0040952029e-03
-2.7398768000e+00, 1.3876627840e-02, -8.8890775854e-04
-2.7395266560e+00, 1.4165712626e-02, -1.7344528018e-03
-2.7391765120e+00, 1.3442442581e-02, -2.5368025535e-03
