% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 33.00 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 300.000 000 Hz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:53:26 -0400
% Time (s), Channel A (V)
-2.0645040000e-02, 9.1841723956e-01
-2.0642336000e-02, 9.0620424435e-01
-2.0639632000e-02, 8.9887644723e-01
-2.0636928000e-02, 8.8422085298e-01
-2.0634224000e-02, 8.7933565490e-01
-2.0631520000e-02, 8.6468006065e-01
-2.0628816000e-02, 8.5490966449e-01
-2.0626112000e-02, 8.5002446640e-01
-2.0623408000e-02, 8.3781147120e-01
-2.0620704000e-02, 8.2559847599e-01
-2.0618000000e-02, 8.1582807982e-01
-2.0615296000e-02, 8.0605768366e-01
-2.0612592000e-02, 7.9628728749e-01
-2.0609888000e-02, 7.8651689133e-01
-2.0607184000e-02, 7.7430389612e-01
-2.0604480000e-02, 7.6209090091e-01
-2.0601776000e-02, 7.5232050475e-01
-2.0599072000e-02, 7.4499270762e-01
-2.0596368000e-02, 7.3522231146e-01
-2.0593664000e-02, 7.2545191529e-01
-2.0590960000e-02, 7.1323892009e-01
-2.0588256000e-02, 7.0591112296e-01
-2.0585552000e-02, 6.9614072680e-01
-2.0582848000e-02, 6.8637033063e-01
-2.0580144000e-02, 6.7415733542e-01
-2.0577440000e-02, 6.6438693926e-01
-2.0574736000e-02, 6.5705914213e-01
-2.0572032000e-02, 6.4973134501e-01
-2.0569328000e-02, 6.3751834980e-01
-2.0566624000e-02, 6.3019055268e-01
-2.0563920000e-02, 6.2042015651e-01
-2.0561216000e-02, 6.1553495843e-01
-2.0558512000e-02, 6.0087936418e-01
-2.0555808000e-02, 5.9599416610e-01
-2.0553104000e-02, 5.8622376993e-01
